loan_id,client_id,contract_id,principal_amount,interest_rate,loan_type
852,131,413,131799,0.04,mortgage
853,86,345,189413,0.06,mortgage
854,164,399,16963,0.03,mortgage
855,147,211,188427,0.15,car
856,147,445,169144,0.34,personal
857,165,281,120488,0.03,mortgage
858,146,175,19306,0.25,personal
859,115,289,157599,0.11,personal
860,128,317,113271,0.22,personal
861,294,151,153177,0.15,personal
862,289,411,136979,0.04,mortgage
863,145,409,172426,0.21,personal
864,155,424,60162,0.05,mortgage
865,263,96,87700,0.09,car
866,208,5,89065,0.14,personal
867,181,347,154803,0.07,car
868,24,424,99915,0.06,mortgage
869,46,249,110143,0.11,car
870,259,398,51373,0.28,personal
871,249,114,63181,0.24,personal
872,117,129,196999,0.04,mortgage
873,11,148,25082,0.03,mortgage
874,152,15,198923,0.05,mortgage
875,204,435,182690,0.13,personal
876,131,144,38811,0.16,car
877,51,70,157745,0.06,mortgage
878,92,451,10802,0.05,car
879,5,17,102696,0.04,mortgage
880,68,461,183756,0.04,car
881,101,432,110405,0.33,personal
882,153,59,188584,0.3,personal
883,16,238,135912,0.1,personal
884,242,34,73543,0.28,personal
885,238,282,96155,0.06,mortgage
886,226,97,57165,0.33,personal
887,236,383,173348,0.04,mortgage
888,170,54,174242,0.09,car
889,142,422,100684,0.19,car
890,206,280,158369,0.04,mortgage
891,80,18,154301,0.12,car
892,135,84,192284,0.28,personal
893,8,350,145411,0.06,mortgage
894,46,452,59544,0.14,car
895,122,95,126558,0.14,car
896,89,329,155954,0.13,car
897,163,15,61514,0.05,mortgage
898,268,27,155264,0.35,personal
899,70,303,84918,0.04,mortgage
900,1,165,196826,0.28,personal
901,117,467,127962,0.05,mortgage
902,224,415,186682,0.05,mortgage
903,220,467,44285,0.05,mortgage
904,166,120,59940,0.23,personal
905,29,367,167424,0.06,mortgage
906,137,481,12221,0.33,personal
907,5,180,99645,0.36,personal
908,290,64,94142,0.19,car
909,43,25,199435,0.1,car
910,117,341,33902,0.06,car
911,25,54,110875,0.14,personal
912,123,199,63570,0.35,personal
913,10,321,58943,0.06,mortgage
914,199,283,106497,0.19,car
915,147,171,94812,0.1,car
916,240,87,135596,0.05,mortgage
917,287,122,79265,0.13,car
918,250,378,100639,0.07,personal
919,167,223,193626,0.23,personal
920,65,112,42933,0.04,mortgage
921,66,449,141575,0.09,car
922,211,325,134298,0.03,mortgage
923,46,197,162879,0.04,mortgage
924,48,86,130344,0.05,mortgage
925,177,292,198263,0.12,personal
926,111,378,156005,0.19,car
927,132,387,150050,0.05,personal
928,210,285,11109,0.04,mortgage
929,87,319,23171,0.09,personal
930,159,404,31805,0.12,car
931,240,343,158021,0.05,mortgage
932,27,173,14538,0.17,personal
933,96,475,89119,0.18,personal
934,45,183,134137,0.11,car
935,62,119,75670,0.27,personal
936,245,304,106778,0.06,mortgage
937,67,20,56946,0.06,mortgage
938,299,29,21401,0.03,mortgage
939,293,348,192225,0.3,personal
940,120,427,97595,0.34,personal
941,287,439,172073,0.09,car
942,178,20,88131,0.05,car
943,71,11,53256,0.03,mortgage
944,235,217,181120,0.19,car
945,2,170,38268,0.13,personal
946,163,389,108859,0.03,car
947,135,337,188202,0.24,personal
948,61,221,63566,0.1,car
949,234,22,187802,0.16,personal
950,217,32,157543,0.03,mortgage
951,259,70,147037,0.14,personal
952,296,211,173240,0.18,car
953,23,32,73348,0.11,personal
954,30,153,180586,0.18,car
955,228,363,121794,0.06,mortgage
956,144,174,83083,0.13,car
957,91,247,77742,0.05,mortgage
958,8,335,148282,0.08,personal
959,12,133,138957,0.22,personal
960,3,77,183401,0.03,mortgage
961,232,314,78386,0.07,personal
962,196,406,184588,0.19,car
963,291,6,152676,0.2,car
964,233,389,103552,0.12,car
965,187,112,172136,0.23,personal
966,116,133,82675,0.12,car
967,184,451,105019,0.29,personal
968,107,419,77689,0.08,personal
969,298,256,73418,0.05,mortgage
970,25,457,120023,0.06,mortgage
971,198,368,100975,0.19,car
972,217,451,84268,0.14,car
973,95,161,39098,0.21,personal
974,170,20,76644,0.03,mortgage
975,83,125,41752,0.09,personal
976,183,26,168293,0.06,mortgage
977,148,126,97636,0.06,personal
978,207,255,107438,0.05,mortgage
979,96,331,45595,0.12,personal
980,2,463,74596,0.11,car
981,131,193,30769,0.13,personal
982,123,483,48213,0.16,car
983,281,153,41545,0.11,personal
984,292,311,57535,0.16,car
985,279,61,12162,0.07,car
986,103,260,143098,0.05,mortgage
987,31,268,19713,0.3,personal
988,128,110,86110,0.03,mortgage
989,211,372,147004,0.06,mortgage
990,159,299,153947,0.05,mortgage
991,144,308,20763,0.05,mortgage
992,36,192,180321,0.05,mortgage
993,60,340,29672,0.06,mortgage
994,285,153,114878,0.13,car
995,130,405,59219,0.08,personal
996,174,70,78556,0.03,car
997,199,216,198032,0.05,car
998,55,409,38023,0.03,mortgage
999,276,115,100241,0.07,personal
1000,217,121,21682,0.07,personal
